"Model","False_Positive_Rate","True_Positive_Rate","AUC","Point_Index"
"Gradient Boosting","0","0","0.91","0"
"Gradient Boosting","0","0.02","0.91","1"
"Gradient Boosting","0","0.25","0.91","2"
"Gradient Boosting","0.01","0.25","0.91","3"
"Gradient Boosting","0.01","0.35","0.91","4"
"Gradient Boosting","0.01","0.35","0.91","5"
"Gradient Boosting","0.01","0.4","0.91","6"
"Gradient Boosting","0.02","0.4","0.91","7"
"Gradient Boosting","0.02","0.43","0.91","8"
"Gradient Boosting","0.03","0.43","0.91","9"
"Gradient Boosting","0.03","0.45","0.91","10"
"Gradient Boosting","0.04","0.45","0.91","11"
"Gradient Boosting","0.04","0.47","0.91","12"
"Gradient Boosting","0.04","0.47","0.91","13"
"Gradient Boosting","0.04","0.52","0.91","14"
"Gradient Boosting","0.05","0.52","0.91","15"
"Gradient Boosting","0.05","0.57","0.91","16"
"Gradient Boosting","0.07","0.57","0.91","17"
"Gradient Boosting","0.07","0.6","0.91","18"
"Gradient Boosting","0.08","0.6","0.91","19"
"Gradient Boosting","0.08","0.62","0.91","20"
"Gradient Boosting","0.09","0.62","0.91","21"
"Gradient Boosting","0.09","0.63","0.91","22"
"Gradient Boosting","0.09","0.63","0.91","23"
"Gradient Boosting","0.09","0.67","0.91","24"
"Gradient Boosting","0.1","0.67","0.91","25"
"Gradient Boosting","0.1","0.72","0.91","26"
"Gradient Boosting","0.11","0.72","0.91","27"
"Gradient Boosting","0.11","0.73","0.91","28"
"Gradient Boosting","0.11","0.73","0.91","29"
"Gradient Boosting","0.11","0.75","0.91","30"
"Gradient Boosting","0.12","0.75","0.91","31"
"Gradient Boosting","0.12","0.78","0.91","32"
"Gradient Boosting","0.14","0.78","0.91","33"
"Gradient Boosting","0.14","0.8","0.91","34"
"Gradient Boosting","0.16","0.8","0.91","35"
"Gradient Boosting","0.16","0.83","0.91","36"
"Gradient Boosting","0.22","0.83","0.91","37"
"Gradient Boosting","0.22","0.85","0.91","38"
"Gradient Boosting","0.23","0.85","0.91","39"
"Gradient Boosting","0.23","0.87","0.91","40"
"Gradient Boosting","0.24","0.87","0.91","41"
"Gradient Boosting","0.24","0.88","0.91","42"
"Gradient Boosting","0.25","0.88","0.91","43"
"Gradient Boosting","0.25","0.9","0.91","44"
"Gradient Boosting","0.26","0.9","0.91","45"
"Gradient Boosting","0.26","0.92","0.91","46"
"Gradient Boosting","0.31","0.92","0.91","47"
"Gradient Boosting","0.31","0.93","0.91","48"
"Gradient Boosting","0.39","0.93","0.91","49"
"Gradient Boosting","0.39","0.95","0.91","50"
"Gradient Boosting","0.45","0.95","0.91","51"
"Gradient Boosting","0.45","0.97","0.91","52"
"Gradient Boosting","0.51","0.97","0.91","53"
"Gradient Boosting","0.51","0.98","0.91","54"
"Gradient Boosting","0.53","0.98","0.91","55"
"Gradient Boosting","0.53","1","0.91","56"
"Gradient Boosting","1","1","0.91","57"
"Random Forest","0","0","0.8","0"
"Random Forest","0","0.02","0.8","1"
"Random Forest","0","0.12","0.8","2"
"Random Forest","0.02","0.12","0.8","3"
"Random Forest","0.02","0.18","0.8","4"
"Random Forest","0.04","0.18","0.8","5"
"Random Forest","0.04","0.2","0.8","6"
"Random Forest","0.04","0.2","0.8","7"
"Random Forest","0.04","0.28","0.8","8"
"Random Forest","0.06","0.28","0.8","9"
"Random Forest","0.06","0.35","0.8","10"
"Random Forest","0.06","0.35","0.8","11"
"Random Forest","0.06","0.37","0.8","12"
"Random Forest","0.08","0.37","0.8","13"
"Random Forest","0.08","0.38","0.8","14"
"Random Forest","0.1","0.38","0.8","15"
"Random Forest","0.1","0.43","0.8","16"
"Random Forest","0.13","0.43","0.8","17"
"Random Forest","0.13","0.47","0.8","18"
"Random Forest","0.14","0.47","0.8","19"
"Random Forest","0.14","0.52","0.8","20"
"Random Forest","0.14","0.52","0.8","21"
"Random Forest","0.14","0.53","0.8","22"
"Random Forest","0.15","0.53","0.8","23"
"Random Forest","0.15","0.55","0.8","24"
"Random Forest","0.19","0.55","0.8","25"
"Random Forest","0.19","0.58","0.8","26"
"Random Forest","0.21","0.58","0.8","27"
"Random Forest","0.21","0.6","0.8","28"
"Random Forest","0.22","0.6","0.8","29"
"Random Forest","0.22","0.63","0.8","30"
"Random Forest","0.23","0.63","0.8","31"
"Random Forest","0.23","0.67","0.8","32"
"Random Forest","0.27","0.67","0.8","33"
"Random Forest","0.27","0.68","0.8","34"
"Random Forest","0.29","0.68","0.8","35"
"Random Forest","0.29","0.73","0.8","36"
"Random Forest","0.33","0.73","0.8","37"
"Random Forest","0.33","0.77","0.8","38"
"Random Forest","0.34","0.77","0.8","39"
"Random Forest","0.34","0.83","0.8","40"
"Random Forest","0.39","0.83","0.8","41"
"Random Forest","0.39","0.85","0.8","42"
"Random Forest","0.4","0.85","0.8","43"
"Random Forest","0.4","0.87","0.8","44"
"Random Forest","0.41","0.87","0.8","45"
"Random Forest","0.41","0.9","0.8","46"
"Random Forest","0.42","0.9","0.8","47"
"Random Forest","0.42","0.92","0.8","48"
"Random Forest","0.56","0.92","0.8","49"
"Random Forest","0.56","0.93","0.8","50"
"Random Forest","0.65","0.93","0.8","51"
"Random Forest","0.65","0.95","0.8","52"
"Random Forest","0.66","0.95","0.8","53"
"Random Forest","0.66","0.97","0.8","54"
"Random Forest","0.71","0.97","0.8","55"
"Random Forest","0.71","0.98","0.8","56"
"Random Forest","0.81","0.98","0.8","57"
"Random Forest","0.81","1","0.8","58"
"Random Forest","1","1","0.8","59"
"Random Chance","0","0","0.5","0"
"Random Chance","0.1","0.1","0.5","1"
"Random Chance","0.2","0.2","0.5","2"
"Random Chance","0.3","0.3","0.5","3"
"Random Chance","0.4","0.4","0.5","4"
"Random Chance","0.5","0.5","0.5","5"
"Random Chance","0.6","0.6","0.5","6"
"Random Chance","0.7","0.7","0.5","7"
"Random Chance","0.8","0.8","0.5","8"
"Random Chance","0.9","0.9","0.5","9"
"Random Chance","1","1","0.5","10"
